Format,RaceBox CSV,,,,,,,,,,,
Data Source,RaceBox 2231805086,,,,,,,,,,,
Date UTC,2025-10-22T19:27:56+00:00,,,,,,,,,,,
Date,22/10/2025,,,,,,,,,,,
Time,7/27/1956,,,,,,,,,,,
Session Index,1,,,,,,,,,,,
Session Type,Track,,,,,,,,,,,
Track,No Track,,,,,,,,,,,
Configuration,,,,,,,,,,,,
Laps,0,,,,,,,,,,,
Best Lap Time,207.68,,,,,,,,,,,
,,,,,,,,,,,,
Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2025-10-22T19:27:56.000Z,36.1405896,-86.7333121,550.3,15.69,-0.286,0.238,-0.228,0,0.13,-0.44,9.17
2,2025-10-22T19:27:56.040Z,36.1405913,-86.7333099,550.3,15.86,-0.247,0.275,-0.156,0,0.5,-0.59,12.27
3,2025-10-22T19:27:56.080Z,36.1405931,-86.7333077,550.3,15.86,-0.183,0.312,0.064,0,0.78,0,15.26
4,2025-10-22T19:27:56.120Z,36.1405951,-86.7333057,550.4,15.73,-0.122,0.357,0.373,0,0.65,0.88,17.84
5,2025-10-22T19:27:56.160Z,36.140597,-86.7333036,550.4,15.66,-0.083,0.376,0.635,0,0.4,1.57,19.9
6,2025-10-22T19:27:56.200Z,36.1405989,-86.7333017,550.5,15.43,-0.071,0.394,0.791,0,-0.09,1.83,21.56
7,2025-10-22T19:27:56.240Z,36.1406009,-86.7332998,550.5,15.39,-0.069,0.385,0.881,0,-0.43,1.88,22.55
8,2025-10-22T19:27:56.280Z,36.1406028,-86.7332981,550.5,15.41,-0.051,0.367,0.806,0,-0.43,1.91,23.38
9,2025-10-22T19:27:56.320Z,36.1406047,-86.7332962,550.5,15.43,-0.047,0.365,0.627,0,-0.29,1.94,24.32
10,2025-10-22T19:27:56.360Z,36.1406068,-86.7332943,550.6,15.75,-0.072,0.397,0.468,0,0.07,1.77,25.6
11,2025-10-22T19:27:56.400Z,36.140609,-86.7332926,550.6,16.06,-0.103,0.437,0.366,0,0.2,1.86,27.41
12,2025-10-22T19:27:56.440Z,36.1406113,-86.733291,550.7,15.96,-0.105,0.496,0.358,0,0.23,2.24,29.63
13,2025-10-22T19:27:56.480Z,36.1406134,-86.7332895,550.7,15.69,-0.104,0.543,0.428,0,-0.11,2.43,31.89
14,2025-10-22T19:27:56.520Z,36.1406156,-86.7332881,550.7,15.55,-0.113,0.565,0.484,0,-0.28,2.7,34.07
15,2025-10-22T19:27:56.560Z,36.140618,-86.7332867,550.8,15.58,-0.075,0.584,0.535,0,-0.49,2.62,36.07
16,2025-10-22T19:27:56.600Z,36.1406202,-86.7332855,550.8,15.67,-0.03,0.59,0.57,0,-0.52,2.68,37.8
17,2025-10-22T19:27:56.640Z,36.1406226,-86.7332843,550.8,15.86,-0.013,0.58,0.545,0,-0.6,3.04,39.37
18,2025-10-22T19:27:56.680Z,36.1406251,-86.7332833,550.8,15.9,-0.033,0.57,0.506,0,-0.49,3.24,40.69
19,2025-10-22T19:27:56.720Z,36.1406275,-86.7332823,550.8,15.85,-0.065,0.562,0.49,0,-0.21,3.28,41.59
20,2025-10-22T19:27:56.760Z,36.1406299,-86.7332812,550.9,15.95,-0.102,0.558,0.467,0,-0.14,3.1,42.18
21,2025-10-22T19:27:56.800Z,36.1406326,-86.7332806,550.9,16,-0.117,0.552,0.462,0,-0.39,2.89,42.67
22,2025-10-22T19:27:56.840Z,36.140635,-86.7332799,550.9,16,-0.155,0.545,0.396,0,-0.48,2.35,43.06
23,2025-10-22T19:27:56.880Z,36.1406375,-86.7332793,550.9,15.91,-0.178,0.551,0.371,0,-0.35,1.69,43.28
24,2025-10-22T19:27:56.920Z,36.1406401,-86.7332787,550.9,15.96,-0.165,0.557,0.408,0,-0.12,1.18,43.67
25,2025-10-22T19:27:56.960Z,36.1406427,-86.7332783,551,16.17,-0.139,0.563,0.469,0,0.12,1.7,44.2
26,2025-10-22T19:27:57.000Z,36.1406453,-86.7332778,551,16.04,-0.113,0.585,0.575,0,0.52,1.48,44.52
27,2025-10-22T19:27:57.040Z,36.1406478,-86.7332778,551,16,-0.142,0.605,0.619,0,0.55,1.81,44.93
28,2025-10-22T19:27:57.080Z,36.1406504,-86.7332776,551.1,15.94,-0.161,0.616,0.589,0,0.41,1.94,45.29
29,2025-10-22T19:27:57.120Z,36.140653,-86.7332776,551.1,16.03,-0.158,0.628,0.56,0,0.33,2.22,45.72
30,2025-10-22T19:27:57.160Z,36.1406557,-86.7332778,551.1,16.1,-0.141,0.642,0.503,0,0.47,2.12,46.3
31,2025-10-22T19:27:57.200Z,36.1406582,-86.7332781,551.1,16.02,-0.11,0.648,0.445,0,0.44,2.48,47.22
32,2025-10-22T19:27:57.240Z,36.1406608,-86.7332785,551.1,16.2,-0.069,0.664,0.436,0,0.33,2.92,48.07
33,2025-10-22T19:27:57.280Z,36.1406634,-86.733279,551.2,16.25,-0.081,0.687,0.421,0,0.1,2.64,48.99
34,2025-10-22T19:27:57.320Z,36.140666,-86.7332795,551.2,16.27,-0.082,0.703,0.384,0,-0.38,2.38,49.87
35,2025-10-22T19:27:57.360Z,36.1406685,-86.7332804,551.2,16.26,-0.085,0.701,0.4,0,-0.74,2.26,50.67
